,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
5278,85264986107,Dell,Intel Core i7 8th Gen.,15.6 in,Silver,16 GB,1 tb,AMD,3.10 GHz,Laptop/Tablet,1920 x 1080,dell,windows 11 pro,Not available,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,No note from seller,$799.95 
5281,85264986110,Dell,Intel Core i7 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$129.95 
5284,85264986113,Lenovo,Intel Core i7 8th Gen.,13 in,Black,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,3000 x 2000,lenovo,windows 11 pro,256 gb,SSD,LTE,Good,“Includes AC adapter and keyboard with the unit only. No pen.”,$349.99 
5291,85264986120,HP,Intel Pentium,12 in,Black,4 GB,128 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1280,hp,windows 11 pro,128 gb,SSD,Touchscreen,New,No note from seller,$155.00 
5292,85264986121,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Very Good,No note from seller,$289.99 
5294,85264986123,Lenovo,Intel Celeron N,11.6 in,Black,4 MB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,4 gb,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Rugged,  Wi-Fi",Used,No note from seller,$89.99 
5297,85264986126,HP,Intel Core i7 8th Gen.,15.6 in,Silver/Black,16 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi, Dual Band Wireless AC",Good,“Good condition- Unit has minor cosmetic flaws (Read Description) and a non-functional fingerprint ...  Read moreabout the seller notes“Good condition- Unit has minor cosmetic flaws (Read Description) and a non-functional fingerprint scanner- Clean installation of Windows 11 Pro- 1 year warranty (not including cosmetic issues listed in description and the fingerprint scanner)-Auction is for 1 unit and 1 genuine adapter.” Read Lessabout the seller notes ,$199.99 
5299,85264986128,Lenovo,Intel Core i5 8th Gen.,14 in,Black,16 GB,512 gb,Intel,1.6 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 pro,512 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",Used,"“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, ...  Read moreabout the seller notes“Professionally Tested working. The unit shows minor cosmetic signs of wear and tear (scratches, scuffing, etc.). Include an Original AC adapter.” Read Lessabout the seller notes ",$220.00 
5410,85264986201,Dell,Intel Core i5 7th Gen.,12.5 in,Black,16 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 pro,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",Used,"“Used Very Good - This product is in very good cosmetic condition and although there may be some ...  Read moreabout the seller notes“Used Very Good - This product is in very good cosmetic condition and although there may be some light signs of use, the item has been fully tested and is in excellent working order.” Read Lessabout the seller notes ",$175.00 
5417,85264986208,Dell,Intel Core i5 11th Gen.,14 in,Black,16 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Built-in Microphone, Bluetooth, Backlit Keyboard, Touchscreen, Built-in Webcam, Wi-Fi",Not Available,No note from seller,$599.00 
