,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
0,85264981001,CHUWI,Quad Core,14 in,Gray,8 GB,"1 ,  1   1 tb",Intel,3.80 GHz,Notebook/Laptop,2160 x 1440,corebook,windows 11 home,512 gb,SSD,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam",New,No note from seller,$303.68 
2,85264981003,Dell,Intel Core i5-6300U,14 in,Black,16 GB,500 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,500 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"“Well kept, fully functional, includes battery, AC Adapter and power cord.”",$175.00 
4,85264981005,Dell,Intel Core i5 6th Gen.,"Minimum 12.5""",Unknown,8 GB,256 gb,Integrated,1.40 GHz,Notebook/Laptop,1366 x 768,various,windows 10,Not available,SSD,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Wi-Fi",Good,“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have ...  Read moreabout the seller notes“Laptops is tested & fully working with some sign of use (scratches and/or marks on case. May have scratches and spots on screen). Please Note Our Images Are An Example Of The Laptop You Will Receive. Model Numbers Will Vary.Windows 10 installed. Comes with charger and power lead.” Read Lessabout the seller notes ,$101.22 
13,85264981014,Chuwi,Intel Celeron Processor N4100,14.1 in,Gray,8 GB,256 gb,Intel,2.80 GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,Wi-Fi,New,No note from seller,$151.99 
14,85264981015,Chuwi,Intel Core i5-8259U,14 in,Gray,8 GB,512 gb,Intel,3.80 GHz,Notebook/Laptop,2160 x 1440,chuwi,windows 10,512 gb,HDD/SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Wi-Fi",New,No note from seller,$243.99 
17,85264981018,Dell,Intel Celeron,11 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will ...  Read moreabout the seller notes“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will show normal signs of use and handling with nothing major, The screen is NOT cracked and the computer is intact, the PC Laptop is fully tested and working normally. A brand new copy of Windows 10 Pro is installed and active. Ready for use out of the box with an Authentic charger” Read Lessabout the seller notes ",$129.99 
18,85264981019,Acer,Intel Celeron N,11.6 in,Gray,4 GB,16 gb,Intel,1.60 GHz,Notebook/Laptop,1366 x 768,acer,Chrome OS,16 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; ...  Read moreabout the seller notes“Acer Chromebook C731 in certified excellent, used condition.Displays light to normal signs of wear; NO cracks, deep scuffs, or dents.Features 4GB RAM, 16GB SSD, HDMI, Wi-Fi connectivity, and a built-in webcam.Ideal for students, professionals, or casual browsing.” Read Lessabout the seller notes ",$39.99 
22,85264981023,Dell,Intel Core i5 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,"“This dell computer was used before and will show normal signs of use and handling, Everything is ...  Read moreabout the seller notes“This dell computer was used before and will show normal signs of use and handling, Everything is guaranteed to work as it should” Read Lessabout the seller notes ",$199.99 
27,85264981028,HP,Intel Core i5-1135G7,15.6 in,Silver,32 GB,2 tb,Intel,4.2 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,2tb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, USB 3.2, Ethernet, Media card reader, USB-C",New,No note from seller,$439.00 to $629.00
29,85264981030,Dell,Intel Core i5 7th Gen.,15.6 in,Black,16 GB,512 gb,Intel,3.10 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good,"“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has ...  Read moreabout the seller notes“The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.” Read Lessabout the seller notes ",$344.99 
30,85264981031,CHUWI,Quad Core,15.6 in,Gray,16 GB,512 gb,Intel,3.4GHz,Notebook/Laptop,1920 x 1080,gemibook,windows 11 home,512 gb,SSD,"Built-in Microphone,  Built-in Webcam,  Bluetooth,  Wi-Fi",New,No note from seller,$241.99 
34,85264981035,Chuwi,Intel Celeron N4100,14.1 in,Gray,8 GB,256 gb,Intel,2.8GHz,Notebook/Laptop,1920 x 1080,chuwi,windows 11 home,256 gb,SSD,"Bluetooth, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Wi-Fi",New,No note from seller,$149.99 
39,85264981040,CHUWI,Intel Celeron N5100,13.5 in,Gray,12 GB,512 gb,Intel,2.80 GHz,Notebook/Laptop,2256 x 1504,chuwi,windows 10 home,12 gb,SSD,"Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet",New,No note from seller,$269.49 
41,85264981042,Dell,AMD Ryzen 5,15.6 in,Carbon Black,16 GB,512 gb,AMD,4.5 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,512 gb,SSD,"Bluetooth, Wi-Fi, MaxxAudio Pro, Media Card Reader, Wi-Fi 5, USB-C 3.2",New,No note from seller,$489.00 
47,85264981048,HP,Intel Celeron,11.6 in,Multi,4 GB,16 gb,Intel,2.4GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",Very Good,“1-Year Allstate warranty. The original HP charger is included.”,$84.99 
49,85264981050,HP,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,1.6 GHz,Chromebook,1366 x 768,samsung,Chrome OS,16 gb,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi,  Widescreen Display",Used,"“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have ...  Read moreabout the seller notes“MINT CONDITION, LIKE NEW!  HP Chromebook 11 G5 in stellar condition. Our certified technicians have meticulously inspected this unit to guarantee 100% functionality. Exhibits minimal signs of handling, with a flawless screen and keyboard. Prepped with a factory reset, this Chromebook is primed to delight right from the package.” Read Lessabout the seller notes ",$69.99 
51,85264981052,Dell,Intel Core i7 6th Gen.,12.5 in,Black,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Used,No note from seller,$129.95 
55,85264981056,Dell,i5-7300HQ,15.6 in,Black,8 GB,256 gb,NVIDIA,2.5 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 home,Not available,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"“Tested/Working. Windows 10, Power Adapter Included. The laptop has frame damage on the backside.”",$199.99 
60,85264981061,Lenovo,Intel Core i5-1135G7,15.6 in,Gray,20 GB,1 tb,Intel,4.20 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,1 tb,SSD,"5G,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Touchscreen,  Wi-Fi,  Dual Speakers",New,No note from seller,$599.00 
66,85264981066,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Very Good,No note from seller,$289.99 
74,85264981070,Dell,Intel Core i5 6th Gen.,14 in,Black,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Used,“Great used shape has scratches scuffs and normal wear from use”,$200.00 
78,85264981072,SGIN,Intel Celeron,15.6 in,Silver,12 GB,512 gb,AMD,2.80 GHz,Notebook/Laptop,1920 x 1200,not available,windows 11 home,12 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",New,No note from seller,$225.00 
82,85264981074,Dell,Intel Core i5 10th Gen.,14 in,Gray,16 GB,512 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,not available,Not Included,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,“Good working 10th Gen laptop  - really nice cosmetic condition - wear marks from normal use. AC ...  Read moreabout the seller notes“Good working 10th Gen laptop  - really nice cosmetic condition - wear marks from normal use. AC Adapter (Power Cord) is included!” Read Lessabout the seller notes ,$229.00 
86,85264981076,Lenovo,Intel Core i7 6th Gen.,14.1in.,Black,16 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,2560 x 1440,lenovo,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Multi-Touch Trackpad",Used,No note from seller,$179.99 
100,85264981083,ASUS,Intel Core i3 11th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$292.95 
102,85264981085,HP,Intel Core i7 4th Gen.,11.6 in,Silver,8 GB,256 gb,Intel,2.10 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,256 gb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Used,“Tested/working. Touch Screen/Tablet. Windows 10 Pro. Power adapter included.”,$259.00 
104,85264981087,Acer,Intel Celeron N,11.6 in,Gray,4 GB,32 gb,Intel,2.48 GHz,Notebook/Laptop,1366 x 768,not available,Chrome OS,32 gb,eMMC,Touchscreen,Used,"“ITEM is Fully Tested & Functional Item MAY contain some small scuff The screen may have some minor ...  Read moreabout the seller notes“ITEM is Fully Tested & Functional Item MAY contain some small scuff The screen may have some minor scuff or hairline scratches but is working . May have Sunspots. Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in OK physical condition. The charger is tested and INCLUDED and may show sign of use” Read Lessabout the seller notes ",$41.00 
107,85264981090,Lenovo,Intel Celeron N,14 in,Gray,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 11 home,128 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$169.99 
112,85264981095,Dell,Intel Core i7 7th Gen.,12.5 in,Unknown,16 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,500 gb,SSD,Wi-Fi,Excellent,“Fully tested one year warranty”,$219.99 
135,85264981118,Acer,Intel Celeron N,14 in,Silver,4 GB,128 gb,Intel,1.1 GHz,Notebook/Laptop,1920 x 1080,acer,windows 11 home,128 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",Used,No note from seller,$89.99 
139,85264981122,Microsoft,Intel Core i7 7th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,2.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10,256 gb,SSD,"Bluetooth, Wi-Fi, Built-in Webcam, Touchscreen, Backlit Keyboard",Not Available,No note from seller,$199.99 
140,85264981123,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Webcam,  Built-in Microphone",New,No note from seller,$389.95 
154,85264981137,HP,Intel Pentium,14 in,Silver,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,64 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$140.00 
362,85264981309,HP,12th Gen Intel Core i5-12450H,15.6 inches,Silver,64 GB,2 tb,NVIDIA,4.40 GHz,Gaming Laptop Computers,1920 x 1080,hp,windows 11 home,2tb,SSD,"Numeric Keypad,  Audio by B&O,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam",New,No note from seller,"$699.00 to $1,089.00"
639,85264981577,Lenovo,Intel Core i3 12th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 home,8 gb,SSD,Built-in Webcam,Used,“100% Functional! In Great Condition! A few small scratches/scuffs/dings on casing.”,$192.00 to $203.05
645,85264981580,Dell,Intel Core i7 8th Gen.,14 in,Black,32 GB,1 tb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,1 tb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Excellent,“fully tested one year warranty”,$369.99 
679,85264981597,HP,Intel Pentium,17.3 in,Unknown,12 GB,256 gb,Intel,3.50 GHz,Notebook/Laptop,1600 x 900,not available,windows 11,256 gb,SSD,Touchscreen,Used,"“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by HP direct (not by 3rd party) to BRAND NEW ...  Read moreabout the seller notes“This laptop has been ""CERTIFIED FACTORY REFURBISHED"" by HP direct (not by 3rd party) to BRAND NEW condition and is backed by a HP Factory Warranty. Looks just ""Like New"" Sealed in a HP box. HP warranty card. All original accessories included! You wont see a difference. SAVE BIG!!!” Read Lessabout the seller notes ",$444.18 
693,85264981604,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
695,85264981605,HP,Intel Core i7 8th Gen.,14 in,Silver,8 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 11 pro,256 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Spill-Resistant Keyboard, Backlit Keyboard, Touch ID",Used,"“Excellent Working Condition, everything works,  Pretty Good Cosmetic Condition, unit has 1 dent on ...  Read moreabout the seller notes“Excellent Working Condition, everything works,  Pretty Good Cosmetic Condition, unit has 1 dent on the right side,  Actual Item Pictures attached.” Read Lessabout the seller notes ",$172.00 
706,85264981614,ASUS,Intel Core i3 11th Gen.,14 in,Black,8 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Not Available,No note from seller,$289.49 
713,85264981621,Lenovo,i7-8550U,14 in,Black,24 GB,1 tb,Intel,1.80 GHz,Thinkpad,1920 x 1080,lenovo,windows 11 pro,1 tb,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Excellent,“fully tested one year warranty”,$399.99 
1256,85264982124,Dell,Intel Core i5-1135G7,15.6 in,Carbon Black,16 GB,1 tb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,1 tb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",New,No note from seller,$599.00 
1265,85264982133,HP,Intel Core i7 8th Gen.,17.3 in,Silver,64 GB,512 gb,NVIDIA,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,512 gb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,No note from seller,$524.95 
1270,85264982138,VAIO,Intel Core i5 12th Gen.,14.1 in,Black,8 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,vaio,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$369.95 
1277,85264982145,HP,Intel Core i7 13th Gen.,16.1 in,Black,16 GB,1 tb,NVIDIA,2.40 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,1 tb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",New,No note from seller,"$1,149.49 "
1282,85264982150,HP,Intel Celeron,11.6 in,Gray,4 GB,16 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$100.00 
2116,85264982984,Lenovo,Intel Core i5 4th Gen,14 in,Unknown,8 GB,128 gb,Intel,2.1 GHz,Notebook/Laptop,1600 x 900,lenovo,windows 10,128 gb,SSD,Refurbished,Not Available,No note from seller,$453.76 
2151,85264983019,Lenovo,Intel Core i5 6th Gen.,14 in,Black,8 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Used,No note from seller,$200.00 
2216,85264983084,Lenovo,Intel Core i5 6th Gen.,14 in,Unknown,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Used,"“""Excellent Condition Touch Screen 14"" FHD with Dual Battery minor scratches as shown in photos, 6 ...  Read moreabout the seller notes“""Excellent Condition Touch Screen 14"" FHD with Dual Battery minor scratches as shown in photos, 6 months seller Warranty and VAT included""” Read Lessabout the seller notes ",$188.81 
2246,85264983114,Samsung,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.50 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,16 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,"“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. ...  Read moreabout the seller notes“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. Will show signs of normal use.” Read Lessabout the seller notes ",$47.00 
2248,85264983116,Lenovo,i5-4200m,15.6 in,Black,4 GB,0,Intel,2.50 GHz,Notebook/Laptop,1024 x 768,not available,windows 7 pro,500 gb,HDD,"10/100 LAN Card, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Optical Drive, Rugged, Wi-Fi",Used,"“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel i5 2.5 ...  Read moreabout the seller notes“Refurbished and Ready To Use  - Fresh Install Windows 7 Pro 64 Bit - 15.6"" HD Screen - Intel i5 2.5 ghz. Processor - Intel HD Graphics - 4 gb ram -   500 gb Hard Drive - CD/DVDRW - Webcam - Ethernet Port - WIFI - Battery Included, Takes Charge - Charger Included - Multiple Units Available, Overall Good Clean Used Condition” Read Lessabout the seller notes ",$99.99 
2257,85264983125,Dell,Intel Core i7-8665U,14 in,Black,32 GB,512 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,512 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Backlit Keyboard, Built-in Microphone",Excellent,“Certified Refurbished”,$334.99 
2260,85264983128,HP,Intel Celeron N3350,14 in,Gray,4 GB,16 gb,Intel,2.40 GHz,Chromebook,1366 x 768,chromebook,Chrome OS,1 gb,eMMC,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  Wi-Fi",Used,No note from seller,$49.00 
2265,85264983133,Lenovo,AMD Ryzen 5,14 in,Black,16 GB,256 gb,AMD,2.30 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,256 gb,SSD,"Built-in Webcam, Wi-Fi",New,No note from seller,$499.99 
2268,85264983136,Acer,Intel Core i7 10th Gen.,13.5 in,Gray,16 GB,128 gb,Intel,1.80 GHz,Notebook/Laptop,2256 x 1504,acer,Chrome OS,16 gb,SSD,Touchscreen,Used,No note from seller,$229.99 
2270,85264983138,Lenovo,Intel Core i5 10th Gen.,14 in,Gray,16 GB,512 gb,Intel,1.00 GHz,Notebook/Laptop,1920 x 1080,ideapad,windows 11 home,512 gb,SSD,"Touchscreen,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Multi-Touch Trackpad,  Backlit Keyboard,  Built-in Microphone",Used,“Please see photos and description for more detail”,$320.00 
2274,85264983142,HP,Intel Core i5 6TH TILL 12TH GEN SELECT FROM ABOVE,Various,Unknown,8 GB/16 GB/32 GB,1 tb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 pro,1 tb,SSD,"Built-in Microphone,  Built-in Webcam,  Wi-Fi",Good,No note from seller,$164.49 to $442.88
2278,85264983146,HP,i5-7200U,15.6 in,Gray,8 GB,500 gb,Intel,2.50 GHz,Notebook/Laptop,1366 x 768,hp,windows 10,500 gb,HDD,Touchscreen,Used,No note from seller,$99.99 
2279,85264983147,HP,Intel Core i5 10th Gen.,14 in,Silver,8 GB,64 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,samsung,Chrome OS,64 gb,SSD,Touchscreen,Not Available,No note from seller,$199.99 
2280,85264983148,Dell,Intel Core i5 6th Gen.,15.6 in,Black,8 GB,256 gb,Intel,2.30 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Used,No note from seller,$115.00 
2281,85264983149,Dell,Intel Core i5 8th Gen.,14 in,Black,32 GB,512 gb,Intel,1.7 GHz,Notebook/Laptop,1920 x 1080,not available,Not Included,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Rugged,  Touchscreen,  Wi-Fi",Used,“VERY GOOD CONDITIONS “Good working Dell Rugged laptop - wear marks from normal use - there are some ...  Read moreabout the seller notes“VERY GOOD CONDITIONS “Good working Dell Rugged laptop - wear marks from normal use - there are some minor wear marks on the touchpad and palmiest in the form of shiny spots in the plastic” Read Lessabout the seller notes ,$399.00 
2487,85264983355,Dell,Intel Celeron,11.6 in,Black,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 11,64 gb,SSD,Touchscreen,Used,“Great cosmetics - only very minor wear on lid - A GRADE COSMETICS”,$93.00 
2498,85264983366,Lenovo,AMD Ryzen 5,14 in,Black,16 GB,256 gb,AMD,2.30 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 10 pro,256 gb,SSD,"Built-in Webcam,  Wi-Fi",Used,"“Excellent Condition - Never Deployed, used for testing and light usage. Still has 2 years warranty.”",$419.99 
2499,85264983367,Samsung,Intel Celeron,11.6 in,Black,4 GB,16 gb,Intel,2.50 GHz,Notebook/Laptop,1366 x 768,samsung,Chrome OS,16 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",Used,“EVERY CHROMEBOOK HAS BEEN RESTORED TO FACTORY SETTING AND TOP LID RESKINNED. NO GLASS DEFECTS. ...  Read moreabout the seller notes“EVERY CHROMEBOOK HAS BEEN RESTORED TO FACTORY SETTING AND TOP LID RESKINNED. NO GLASS DEFECTS. TESTED FOR FULL FUNCTIONALITY.  COMES WITH AC ADAPTER.” Read Lessabout the seller notes ,$40.46 
2504,85264983372,HP,AMD A4-9120C,14 in,Blue,4 GB,32 gb,AMD,2.40 GHz,Chromebook,1366 x 768,hp,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Used,"“An item in excellent, new condition with no wear. Product in the original packaging but not sealed. ...  Read moreabout the seller notes“An item in excellent, new condition with no wear. Product in the original packaging but not sealed. The item includes original accessories.” Read Lessabout the seller notes ",$99.99 
2505,85264983373,HP,Intel Core i7 8th Gen.,14 in,Silver,8 GB,256 gb,Intel,1.90 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 11 pro,256 gb,SSD,"Bluetooth,  Built-in Webcam,  Wi-Fi,  Spill-Resistant Keyboard,  Backlit Keyboard,  Touch ID",Used,"“Excellent Working Condition, everything works,  Pretty Good Cosmetic Condition, unit has 1 dent on ...  Read moreabout the seller notes“Excellent Working Condition, everything works,  Pretty Good Cosmetic Condition, unit has 1 dent on the right side,  Actual Item Pictures attached.” Read Lessabout the seller notes ",$172.00 
2508,85264983376,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
2512,85264983380,ASUS,Intel Core i3 11th Gen.,14 in,Black,8 GB,256 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Not Available,No note from seller,$289.49 
2516,85264983384,MSI,Intel Core i7 12th Gen.,15.6 in,Black,8 GB,512 gb,NVIDIA,2.30 GHz,Notebook/Laptop,1920 x 1080,msi,windows 11 home,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",New,No note from seller,$919.00 
2520,85264983388,HP,Intel Celeron,11.6 in,Gray,4 GB,16 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Not Available,No note from seller,$100.00 
2536,85264983404,Dell,Intel Core i5-1135G7,15.6 in,Carbon Black,16 GB,1 tb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,1 tb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",New,No note from seller,$599.00 
2537,85264983405,Gateway,Intel Core i5 12th Gen.,14.1 in,Black,8 GB,512 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1080,gateway,windows 11 home,512 gb,SSD,Touchscreen,New,No note from seller,$319.99 
